year,month,Sales,Profit,margin
2011,1,98902,8321.80096,0.08414188752502477
2011,2,91152,12417.90698,0.1362329623047218
2011,3,145726,15303.56826,0.10501604559241316
2011,4,116927,12902.32438,0.11034512456489946
2011,5,146762,12183.8287,0.0830175978795601
2011,6,215214,23415.24702,0.10879983188826005
2011,7,115518,5585.00352,0.048347474159871194
2011,8,207570,23713.66772,0.11424419578937227
2011,9,290230,35776.88394,0.12327079881473314
2011,10,199070,25963.41834,0.13042356125985835
2011,11,298499,32709.17772,0.109578851922452
2011,12,333941,40647.984000000004,0.12172205269793168
2012,1,135775,10401.63764,0.07660937315411527
2012,2,100521,15000.09618,0.14922350732682724
2012,3,163092,17992.917559999998,0.11032372869300762
2012,4,161060,17366.96722,0.1078291768285111
2012,5,208370,29876.70374,0.1433829425541105
2012,6,256181,34407.15362,0.1343079838863928
2012,7,145247,15585.38842,0.10730265286030004
2012,8,303158,43573.87858,0.14373323013082287
2012,9,289390,27776.18034,0.09598182501123051
2012,10,252942,30662.882700000002,0.12122495552340062
2012,11,323512,31820.7218,0.09836025186082742
2012,12,338245,32950.7513,0.09741681710003106
2013,1,199197,26810.55968,0.1345931900580832
2013,2,167247,23762.4961,0.1420802531585021
2013,3,198591,23433.77462,0.1180001843990916
2013,4,177835,19462.03844,0.1094387406303596
2013,5,260525,28495.6941,0.10937796411092986
2013,6,396513,45478.4134,0.11469589496435173
2013,7,229940,28863.8272,0.12552764721231627
2013,8,326491,31023.66846,0.09502151195591915
2013,9,376626,38905.667779999996,0.1033005362879886
2013,10,293423,42433.22258,0.14461450731537745
2013,11,373996,48062.9967,0.12851206082417996
2013,12,405476,50202.871119999996,0.12381218893350036
2014,1,241267,28001.38626,0.1160597440180381
2014,2,184848,19751.69996,0.1068537390721025
2014,3,263110,37357.26052,0.1419834309604348
2014,4,242781,23782.3012,0.09795783525069919
2014,5,288404,33953.557740000004,0.1177291498730947
2014,6,401843,43778.6028,0.10894454500887163
2014,7,258718,28035.87258,0.1083645999891774
2014,8,456633,53542.89496,0.11725585965096696
2014,9,481186,67979.4511,0.14127478999804652
2014,10,422785,58209.83476,0.13768188265903472
2014,11,555312,62856.5879,0.1131914813654306
2014,12,503154,46916.52068,0.09324485282835872
